,body_type,co2Emissions,condition,doors,engine_size,isTradeSeller,make,manufactured_year,mileage,model,price,seats,transmission,location
0,Hatchback,101,Used,5.0,1.1,True,Ford,2018.0,21400,Fiesta,9300.0,5.0,Manual,Bristol
1,Coupe,163,Used,2.0,3.0,True,BMW,2018.0,28261,2 Series,21745.0,4.0,Automatic,Bristol
2,Hatchback,105,Used,5.0,0.9,False,Renault,2018.0,19981,Clio,8455.0,5.0,Manual,Bristol
3,SUV,161,Used,5.0,2.0,True,Alfa Romeo,2018.0,11204,Stelvio,27990.0,5.0,Automatic,Bristol
4,Hatchback,93,Used,5.0,1.0,True,Citroen,2018.0,13450,C1,7500.0,4.0,Manual,Bristol
5,SUV,105,Used,5.0,1.2,True,Vauxhall,2019.0,17869,Crossland X,10450.0,5.0,Manual,Bristol
6,Hatchback,117,Used,5.0,1.0,True,Vauxhall,2019.0,8932,Viva,6391.0,5.0,Manual,Bristol
7,SUV,169,Used,5.0,2.0,True,Volvo,2018.0,16819,XC60,25822.0,5.0,Automatic,Bristol
8,Estate,163,Used,5.0,1.5,True,Mercedes-Benz,2019.0,11708,C Class,24331.0,5.0,Automatic,Bristol
9,Hatchback,119,Used,5.0,1.4,True,Volkswagen,2018.0,22871,Golf,14690.0,5.0,Automatic,Bristol
10,SUV,125,Used,5.0,1.0,True,Hyundai,2018.0,10326,Kona,13995.0,5.0,Manual,Bristol
11,Hatchback,118,Used,5.0,1.4,True,Vauxhall,2018.0,49649,Corsa,7100.0,5.0,Manual,Bristol
12,Hatchback,109,Used,5.0,1.2,True,Peugeot,2018.0,1890,208,9795.0,5.0,Manual,Bristol
13,Coupe,140,Used,2.0,1.5,True,BMW,2018.0,5475,2 Series,16325.0,4.0,Manual,Bristol
14,SUV,157,Used,5.0,1.4,True,Vauxhall,2019.0,5507,Mokka X,14400.0,5.0,Automatic,Bristol
15,Hatchback,128,Used,3.0,1.4,True,Vauxhall,2019.0,5779,Corsa,7999.0,5.0,Manual,Bristol
16,Hatchback,117,Used,5.0,1.0,True,Vauxhall,2019.0,9517,Viva,6391.0,5.0,Manual,Bristol
17,SUV,125,Used,5.0,1.0,True,Hyundai,2018.0,9396,Kona,13495.0,5.0,Manual,Bristol
18,Hatchback,112,Used,3.0,1.0,True,Ford,2018.0,8516,Fiesta,13849.0,5.0,Manual,Bristol
19,Hatchback,185,Used,5.0,1.8,True,Renault,2019.0,8900,Megane,26500.0,5.0,Manual,Bristol
20,Hatchback,128,Used,3.0,1.2,True,Vauxhall,2019.0,5034,ADAM,9850.0,4.0,Manual,Bristol
21,Hatchback,123,Used,5.0,1.4,True,Vauxhall,2019.0,15616,Corsa,9800.0,5.0,Manual,Bristol
